epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,150.83,1.4874,1.08788,1.19349,0.50504,0.4885,0.47035,0.25269,1.3699,0.98029,1.19601,0.000594052,0.000594052,0.000594052
96,152.384,1.48167,1.0413,1.20306,0.58599,0.41651,0.4747,0.25461,1.3417,0.97664,1.17658,0.000588552,0.000588552,0.000588552
97,153.931,1.4116,1.03614,1.19949,0.51018,0.47348,0.47537,0.26353,1.38635,0.99238,1.17725,0.000583053,0.000583053,0.000583053
98,155.503,1.51187,1.05981,1.20812,0.57311,0.48274,0.46726,0.2501,1.44668,0.99054,1.20479,0.000577553,0.000577553,0.000577553
99,157.048,1.429,1.03454,1.20051,0.54477,0.46154,0.47898,0.26326,1.32395,0.97302,1.17019,0.000572054,0.000572054,0.000572054
100,158.597,1.39676,1.04974,1.19639,0.54626,0.43722,0.48524,0.26182,1.45298,0.99298,1.18525,0.000566554,0.000566554,0.000566554
101,160.107,1.55858,1.12471,1.19455,0.54901,0.42994,0.48602,0.26851,1.44058,0.99176,1.17108,0.000561055,0.000561055,0.000561055
102,161.657,1.40634,0.9927,1.17362,0.56291,0.42286,0.48652,0.2675,1.31936,0.99301,1.14578,0.000555556,0.000555556,0.000555556
103,163.186,1.41893,1.02969,1.18351,0.6929,0.3952,0.49541,0.27769,1.30292,0.93916,1.13853,0.000550056,0.000550056,0.000550056
104,164.75,1.38712,0.99644,1.16352,0.51431,0.47001,0.47023,0.25541,1.29937,0.95056,1.1379,0.000544557,0.000544557,0.000544557
105,166.344,1.39135,1.03706,1.18194,0.56649,0.45631,0.50776,0.27092,1.3011,0.93776,1.14454,0.000539057,0.000539057,0.000539057
106,167.958,1.40138,1.01694,1.17839,0.54766,0.47838,0.51308,0.27516,1.30334,0.94866,1.14019,0.000533558,0.000533558,0.000533558
107,169.484,1.40369,1.04429,1.18309,0.59332,0.50351,0.49674,0.25842,1.42865,0.96905,1.18133,0.000528058,0.000528058,0.000528058
108,171.051,1.41485,0.97855,1.15117,0.71115,0.45737,0.54326,0.27928,1.30704,0.95228,1.15925,0.000522559,0.000522559,0.000522559
109,172.6,1.41483,0.98257,1.13916,0.74505,0.45883,0.54876,0.27419,1.33541,0.97273,1.16677,0.000517059,0.000517059,0.000517059
110,174.13,1.46132,1.01874,1.15802,0.54925,0.44508,0.50825,0.27178,1.3319,0.95836,1.14851,0.00051156,0.00051156,0.00051156
111,175.686,1.40535,0.96739,1.14128,0.6007,0.52411,0.51597,0.27497,1.30481,0.94486,1.13586,0.00050606,0.00050606,0.00050606
112,177.243,1.35946,0.97426,1.136,0.591,0.50264,0.53412,0.27785,1.30927,0.9364,1.14256,0.000500561,0.000500561,0.000500561
113,178.775,1.40913,1.01576,1.16286,0.73597,0.49449,0.58091,0.31573,1.27271,0.92025,1.13212,0.000495062,0.000495062,0.000495062
114,180.364,1.39463,0.9655,1.13115,0.65288,0.53586,0.56647,0.30537,1.31015,0.91044,1.13781,0.000489562,0.000489562,0.000489562
115,181.905,1.39651,0.9507,1.15462,0.6013,0.5392,0.55594,0.30408,1.2924,0.9056,1.13714,0.000484063,0.000484063,0.000484063
116,183.469,1.34853,0.98106,1.14905,0.75554,0.45768,0.55619,0.31052,1.3305,0.91326,1.14723,0.000478563,0.000478563,0.000478563
117,185.032,1.34746,0.93716,1.12672,0.71629,0.46257,0.5555,0.31676,1.30675,0.92065,1.1407,0.000473064,0.000473064,0.000473064
118,186.585,1.34662,0.96458,1.15298,0.69939,0.44616,0.53616,0.2959,1.29185,0.93394,1.13819,0.000467564,0.000467564,0.000467564
119,188.157,1.31408,0.97417,1.14132,0.70164,0.47879,0.54393,0.29892,1.34737,0.94766,1.13589,0.000462065,0.000462065,0.000462065
120,189.748,1.3906,0.96445,1.12841,0.6123,0.51011,0.51384,0.27789,1.28209,0.91196,1.11919,0.000456565,0.000456565,0.000456565
121,191.287,1.35031,0.97203,1.13584,0.61604,0.57057,0.52544,0.28186,1.26218,0.89396,1.11363,0.000451066,0.000451066,0.000451066
122,192.822,1.35012,0.96178,1.1435,0.58797,0.5211,0.53054,0.27934,1.33599,0.91956,1.13015,0.000445567,0.000445567,0.000445567
123,194.4,1.33847,0.96975,1.11294,0.64078,0.52843,0.53425,0.28595,1.29379,0.9369,1.12347,0.000440067,0.000440067,0.000440067
